SCAT ID,Location Description,Site Type,Directory,Map Reference
4057,BALWYN/BELMORE,INT,Melway,4.60E+06
3001,BARKERS/CHURCH/HIGH,INT,Melway,045A08
3002,BARKERS/DENMARK/POWER,INT,Melway,045B08
4035,BURKE/BARKERS/MONT ALBERT,INT,Melway,045J09
4032,BURKE/BELMORE/HARP,INT,Melway,045K04
4040,BURKE/CAMBERWELL/RIVERSDALE,INT,Melway,059J01
3120,BURKE/CANTERBURY,INT,Melway,045J10
4034,BURKE/COTHAM/WHITEHORSE,INT,Melway,045K07
4030,BURKE/DONCASTER/KILBY/HIGH,INT,Melway,045K02
4043,BURKE/TOORAK,INT,Melway,059H05
2000,BURWOOD HWY/WARRIGAL,INT,Melway,060H06
4266,BURWOOD/AUBURN,INT,Melway,045F11
4262,BURWOOD/CHURCH,INT,Melway,2H-J07
4264,BURWOOD/GLENFERRIE,INT,Melway,045D10
4263,BURWOOD/POWER,INT,Melway,045B10
3812,CAMBERWELL/SEYMOUR/TRAFALGAR,INT,Melway,059K02
3127,CANTERBURY/BALWYN,INT,Melway,046D11
3122,CANTERBURY/STANHOPE,INT,Melway,046A10
3126,CANTERBURY/WARRIGAL,INT,Melway,046H11
2820,CHANDLER HWY/PRINCESS ST,INT,Melway,045C02
4324,COTHAM/GLENFERRIE,INT,Melway,4.50E+07
3180,DONCASTER/BALWYN,INT,Melway,4.60E+04
4051,DONCASTER/BULLEEN/SEVERN,INT,Melway,046B02
2827,EASTERN FWY/BULLEEN/THOMPSONS,INT,Melway,032D11
2825,EASTERN/BURKE ON RAMP,INT,Melway,031K12
4270,GLENFERRIE/RIVERSDALE,INT,Melway,045D12
4335,HIGH/CHARLES,INT,Melway,045D05
3662,HIGH/DENMARK/PRINCESS/S'PARK,INT,Melway,045C06
4321,HIGH/HARP/VALERIE,INT,Melway,045G04
2200,MAROONDAH/UNION,INT,Melway,046H08
2846,MONASH/HIGH/WILLS,INT,Melway,059J08
4272,RIVERSDALE/TOORONGA,INT,Melway,045G12
3804,RIVERSDALE/TRAFALGAR,INT,Melway,059K01
4812,SWAN/MADDEN,INT,Melway,2H-J11
4273,TOORAK/TOORONGA,INT,Melway,059F05
4821,VICTORIA/BURNLEY/WALMER,INT,Melway,2H-F02
970,WARRIGAL/HIGH ST RD,INT,Melway,060G10
3685,WARRIGAL/HIGHBURY,INT,Melway,060G07
3682,WARRIGAL/RIVERSDALE,INT,Melway,060H02
4063,WHITEHORSE/BALWYN,INT,Melway,046D08
