Location Code,Location ID
A001,0
A002,1
A003,2
A004,3
A005,4
A006,5
A007,6
A008,7
A009,8
A010,9
A011,10
A012,11
A013,12
A014,13
A015,14
A016,15
A017,16
A018,17
A019,18
A020,19
A021,20
A022,21
A023,22
A024,23
A025,24
A026,25
A027,26
A028,27
A029,28
A030,29
A031,30
A032,31
A033,32
A034,33
A035,34
A036,35
A037,36
A038,37
A039,38
A040,39
A041,40
A042,41
A043,42
A044,43
A045,44
A046,45
A047,46
A048,47
A049,48
A050,49
A051,50
A052,51
A053,52
A054,53
A055,54
A056,55
A057,56
A058,57
A059,58
A060,59
A061,60
A062,61
A063,62
A064,63
A065,64
A066,65
A067,66
A068,67
A069,68
A070,69
A071,70
A072,71
A073,72
A074,73
A075,74
A076,75
A077,76
A078,77
A079,78
A080,79
A081,80
A082,81
A083,82
A084,83
A085,84
A086,85
A087,86
A088,87
A089,88
A090,89
A091,90
A092,91
A093,92
A094,93
A095,94
A096,95
A097,96
A098,97
A099,98
A100,99
A101,100
A102,101
A103,102
B001,0
B011,10
B013,12
B014,13
B015,14
B016,15
B017,16
B018,17
B020,19
B022,21
B023,22
B024,23
B026,25
B029,28
B030,29
B032,31
B033,32
B034,33
B035,34
B036,35
B037,36
B038,37
B039,38
B040,39
B041,40
B044,43
B046,45
B051,50
B052,51
B053,52
B054,53
B056,55
B057,56
B058,57
B059,58
B060,59
B061,60
B062,61
B064,63
B065,64
B066,65
B067,66
B068,67
B070,69
B071,70
B073,72
B074,73
B075,74
B078,77
B079,78
B081,80
B082,81
B083,82
B084,83
B085,84
B086,85
B087,86
B088,87
B089,88
B090,89
B091,90
B093,92
B094,93
B095,94
B097,96
B098,97
B099,98
B100,99
B101,100
B102,101
B103,102
